# Gothic word list, compiled by Dr. Moritz Heyne, published in 1896
# Herkunft: goth_heyne.txt (Dr. Moritz Heyne, 1896), ASCII
# bearbeitet mit Lotus WordPro 9.7, Text-Importeinstellung: Codepage 1252,
# Wagenrücklauf nach jedem Absatz
# 1. Durchgehen: 03/07.2007 .. 05/07.2007
# 2. Durchgehen inkl. Streichung falscher Wörter 06/07.2007 .. 08.07.2007
# An asterisk * denotes a reconstructed word which has not been testified.
*daban|passen, s. ga-daban
*waddjus|Wall, Mauer, s. baurgs-, grundu-, miþgarda-waddjus
*abrjan|s. bi-abrjan
*agan|sich fürchten
*agei|Furcht
*aggwei|Enge
*agjan|in Furcht setzen
*agljan|beschweren, bedrängen - im Compos. us-agljan
*ahs|Verstand haben
*aiginon|s. ga-aiginon
*aikan|sagen
*ainan|s. ga-ainan
*airkns|vgl. unairkns
*aiwisks|Schande habend
*aiwjan|dauern
*aiþeis|vereidet
*aldrs|Alter habend
*alþan|alt sein
*anan|(on, onum, anans), hauchen, s. us-anan
*andjo|s. all-andjo
*atjan|ätzen
*augi|vgl. and-augi
*augiba|vgl. and-augiba
*augjo|vgl. and-augjo
*bahti|bahts, s. and-bahti, and-bahts. vgl. auch and-bahtjan
*bairhteins|Offenbarung
*balþeins|s. us-balþeins
*bandnan|in and-bundnan
*barnahs|Kinder habend
*basi|Beere, im Compos. weina-basi
*batnan|Nutzen kommen, im Compos. ga-batnan
*baugjan|fegen, s. us-baugjan
*bauhts|Kauf, Kaufsumme
*bauljan|schwellen machen, s. uf-bauljan
*baur|das Gebrachte
*baurd|Brett, s. fotu-baurd
*baurgeins|s. bi-baurgeins
*baurjaba|s. ga-baurjaba
*baurjoþus|in ga-baurjoþus
*baurþs|s. ga-baurþs
*beisns|beisnei, beisneigs, s. us-b
*beistei|das Gesäuertsein, im Compos. un-beistei
*beistjan|säuern
*beit|in anda-beit
*biari|in un-biari
*binda|Band, im Compos. ga-binda
*biudan|bieten, s. ana-, faur-biudan
*blesan|blasen, s. uf-blesan
*blindjan|blindnan, in den Compos. ga-bl
*blostrais|Opferer, Anbeter, im Compos. guþ-blostreis
*bloteins|Verehrung, Anbetung, in uf-bloteins
*bok|Buchstabe, plur. boka Urkunde
*braidjan|breit machen, in us-braidjan
*brannjan|brennen, in ga-, in-brannjan
*bruka|Brocke, im Compos. ga-bruka
*bruknan|gebrochen werden: im Compos. us-bruknan
*brunsts|Brennen, Brunst, im Compos. ala-brunsts
*bundi|Band: im Compos. ga-bundi
*busns|Gebot, im Compos. ana-busns
*daila|Teilhaber, in ga-daila
*dalja|in ib-dalja
*dammjan|dämmen, s. faur-dammjan
*daubjan|taub machen, daubnan, taub werden, in ga-daubjan, af-daubnan
*daudjan|in us-daudjan
*dauds|eifrig
*dauka|s. ga-dauka
*dauri|s. faura-dauri
*daursan|(dars, daursum, daursta), wagen, s. ga-daursan
*dauþnan|sterben, s. ga-dauþnan
*dedja|Täter, im Compos. wai-dedja
*deds|Tat, s. ga-, missa-, waila-deds
*deino|Distel, s. wiga-deino
*deisai|Klugheit, s. filu-deisei
*digis|Gebilde, s. ga-digis
*diupjan|tief machen, im Comp. ga-diupjan
*dobnan|verstummen, in af-dobnan
*dobs|in ga-dobs
*dogs|tägig, in ahtau-, fidur-dogs
*dojan|s. u. af-dauiþs
*domeins|Beurteilung, in den Comp. af-, faur-domeins
