Time Zone Index	CountryCode	TimeZoneId	GMT offset 1. Jan 2026	DST offset 1. Jul 2026	rawOffset (independant of DST)
1	CI	Africa/Abidjan	0	0	0
2	GH	Africa/Accra	0	0	0
3	ET	Africa/Addis_Ababa	3	3	3
4	DZ	Africa/Algiers	1	1	1
5	ER	Africa/Asmara	3	3	3
6	ML	Africa/Bamako	0	0	0
7	CF	Africa/Bangui	1	1	1
8	GM	Africa/Banjul	0	0	0
9	GW	Africa/Bissau	0	0	0
10	MW	Africa/Blantyre	2	2	2
11	CG	Africa/Brazzaville	1	1	1
12	BI	Africa/Bujumbura	2	2	2
13	EG	Africa/Cairo	2	3	2
14	MA	Africa/Casablanca	1	1	0
15	ES	Africa/Ceuta	1	2	1
16	GN	Africa/Conakry	0	0	0
17	SN	Africa/Dakar	0	0	0
18	TZ	Africa/Dar_es_Salaam	3	3	3
19	DJ	Africa/Djibouti	3	3	3
20	CM	Africa/Douala	1	1	1
21	EH	Africa/El_Aaiun	1	1	0
22	SL	Africa/Freetown	0	0	0
23	BW	Africa/Gaborone	2	2	2
24	ZW	Africa/Harare	2	2	2
25	ZA	Africa/Johannesburg	2	2	2
26	SS	Africa/Juba	2	2	2
27	UG	Africa/Kampala	3	3	3
28	SD	Africa/Khartoum	2	2	2
29	RW	Africa/Kigali	2	2	2
30	CD	Africa/Kinshasa	1	1	1
31	NG	Africa/Lagos	1	1	1
32	GA	Africa/Libreville	1	1	1
33	TG	Africa/Lome	0	0	0
34	AO	Africa/Luanda	1	1	1
35	CD	Africa/Lubumbashi	2	2	2
36	ZM	Africa/Lusaka	2	2	2
37	GQ	Africa/Malabo	1	1	1
38	MZ	Africa/Maputo	2	2	2
39	LS	Africa/Maseru	2	2	2
40	SZ	Africa/Mbabane	2	2	2
41	SO	Africa/Mogadishu	3	3	3
42	LR	Africa/Monrovia	0	0	0
43	KE	Africa/Nairobi	3	3	3
44	TD	Africa/Ndjamena	1	1	1
45	NE	Africa/Niamey	1	1	1
46	MR	Africa/Nouakchott	0	0	0
47	BF	Africa/Ouagadougou	0	0	0
48	BJ	Africa/Porto-Novo	1	1	1
49	ST	Africa/Sao_Tome	0	0	0
50	LY	Africa/Tripoli	2	2	2
51	TN	Africa/Tunis	1	1	1
52	NA	Africa/Windhoek	2	2	1
53	US	America/Adak	-10	-9	-10
54	US	America/Anchorage	-9	-8	-9
55	AI	America/Anguilla	-4	-4	-4
56	AG	America/Antigua	-4	-4	-4
57	BR	America/Araguaina	-3	-3	-3
58	AR	America/Argentina/Buenos_Aires	-3	-3	-3
59	AR	America/Argentina/Catamarca	-3	-3	-3
60	AR	America/Argentina/Cordoba	-3	-3	-3
61	AR	America/Argentina/Jujuy	-3	-3	-3
62	AR	America/Argentina/La_Rioja	-3	-3	-3
63	AR	America/Argentina/Mendoza	-3	-3	-3
64	AR	America/Argentina/Rio_Gallegos	-3	-3	-3
65	AR	America/Argentina/Salta	-3	-3	-3
66	AR	America/Argentina/San_Juan	-3	-3	-3
67	AR	America/Argentina/San_Luis	-3	-3	-3
68	AR	America/Argentina/Tucuman	-3	-3	-3
69	AR	America/Argentina/Ushuaia	-3	-3	-3
70	AW	America/Aruba	-4	-4	-4
71	PY	America/Asuncion	-3	-3	-3
72	CA	America/Atikokan	-5	-5	-5
73	BR	America/Bahia	-3	-3	-3
74	MX	America/Bahia_Banderas	-6	-6	-6
75	BB	America/Barbados	-4	-4	-4
76	BR	America/Belem	-3	-3	-3
77	BZ	America/Belize	-6	-6	-6
78	CA	America/Blanc-Sablon	-4	-4	-4
79	BR	America/Boa_Vista	-4	-4	-4
80	CO	America/Bogota	-5	-5	-5
81	US	America/Boise	-7	-6	-7
82	CA	America/Cambridge_Bay	-7	-6	-7
83	BR	America/Campo_Grande	-4	-4	-4
84	MX	America/Cancun	-5	-5	-5
85	VE	America/Caracas	-4	-4	-4
86	GF	America/Cayenne	-3	-3	-3
87	KY	America/Cayman	-5	-5	-5
88	US	America/Chicago	-6	-5	-6
89	MX	America/Chihuahua	-6	-6	-6
90	MX	America/Ciudad_Juarez	-7	-6	-7
91	CR	America/Costa_Rica	-6	-6	-6
92	CL	America/Coyhaique	-3	-3	-3
93	CA	America/Creston	-7	-7	-7
94	BR	America/Cuiaba	-4	-4	-4
95	CW	America/Curacao	-4	-4	-4
96	GL	America/Danmarkshavn	0	0	0
97	CA	America/Dawson	-7	-7	-7
98	CA	America/Dawson_Creek	-7	-7	-7
99	US	America/Denver	-7	-6	-7
100	US	America/Detroit	-5	-4	-5
101	DM	America/Dominica	-4	-4	-4
102	CA	America/Edmonton	-7	-6	-7
103	BR	America/Eirunepe	-5	-5	-5
104	SV	America/El_Salvador	-6	-6	-6
105	CA	America/Fort_Nelson	-7	-7	-7
106	BR	America/Fortaleza	-3	-3	-3
107	CA	America/Glace_Bay	-4	-3	-4
108	CA	America/Goose_Bay	-4	-3	-4
109	TC	America/Grand_Turk	-5	-4	-5
110	GD	America/Grenada	-4	-4	-4
111	GP	America/Guadeloupe	-4	-4	-4
112	GT	America/Guatemala	-6	-6	-6
113	EC	America/Guayaquil	-5	-5	-5
114	GY	America/Guyana	-4	-4	-4
115	CA	America/Halifax	-4	-3	-4
116	CU	America/Havana	-5	-4	-5
117	MX	America/Hermosillo	-7	-7	-7
118	US	America/Indiana/Indianapolis	-5	-4	-5
119	US	America/Indiana/Knox	-6	-5	-6
120	US	America/Indiana/Marengo	-5	-4	-5
121	US	America/Indiana/Petersburg	-5	-4	-5
122	US	America/Indiana/Tell_City	-6	-5	-6
123	US	America/Indiana/Vevay	-5	-4	-5
124	US	America/Indiana/Vincennes	-5	-4	-5
125	US	America/Indiana/Winamac	-5	-4	-5
126	CA	America/Inuvik	-7	-6	-7
127	CA	America/Iqaluit	-5	-4	-5
128	JM	America/Jamaica	-5	-5	-5
129	US	America/Juneau	-9	-8	-9
130	US	America/Kentucky/Louisville	-5	-4	-5
131	US	America/Kentucky/Monticello	-5	-4	-5
132	BQ	America/Kralendijk	-4	-4	-4
133	BO	America/La_Paz	-4	-4	-4
134	PE	America/Lima	-5	-5	-5
135	US	America/Los_Angeles	-8	-7	-8
136	SX	America/Lower_Princes	-4	-4	-4
137	BR	America/Maceio	-3	-3	-3
138	NI	America/Managua	-6	-6	-6
139	BR	America/Manaus	-4	-4	-4
140	MF	America/Marigot	-4	-4	-4
141	MQ	America/Martinique	-4	-4	-4
142	MX	America/Matamoros	-6	-5	-6
143	MX	America/Mazatlan	-7	-7	-7
144	US	America/Menominee	-6	-5	-6
145	MX	America/Merida	-6	-6	-6
146	US	America/Metlakatla	-9	-8	-9
147	MX	America/Mexico_City	-6	-6	-6
148	PM	America/Miquelon	-3	-2	-3
149	CA	America/Moncton	-4	-3	-4
150	MX	America/Monterrey	-6	-6	-6
151	UY	America/Montevideo	-3	-3	-3
152	MS	America/Montserrat	-4	-4	-4
153	BS	America/Nassau	-5	-4	-5
154	US	America/New_York	-5	-4	-5
155	US	America/Nome	-9	-8	-9
156	BR	America/Noronha	-2	-2	-2
157	US	America/North_Dakota/Beulah	-6	-5	-6
158	US	America/North_Dakota/Center	-6	-5	-6
159	US	America/North_Dakota/New_Salem	-6	-5	-6
160	GL	America/Nuuk	-2	-1	-2
161	MX	America/Ojinaga	-6	-5	-6
162	PA	America/Panama	-5	-5	-5
163	SR	America/Paramaribo	-3	-3	-3
164	US	America/Phoenix	-7	-7	-7
165	HT	America/Port-au-Prince	-5	-4	-5
166	TT	America/Port_of_Spain	-4	-4	-4
167	BR	America/Porto_Velho	-4	-4	-4
168	PR	America/Puerto_Rico	-4	-4	-4
169	CL	America/Punta_Arenas	-3	-3	-3
170	CA	America/Rankin_Inlet	-6	-5	-6
171	BR	America/Recife	-3	-3	-3
172	CA	America/Regina	-6	-6	-6
173	CA	America/Resolute	-6	-5	-6
174	BR	America/Rio_Branco	-5	-5	-5
175	BR	America/Santarem	-3	-3	-3
176	CL	America/Santiago	-3	-4	-4
177	DO	America/Santo_Domingo	-4	-4	-4
178	BR	America/Sao_Paulo	-3	-3	-3
179	GL	America/Scoresbysund	-2	-1	-2
180	US	America/Sitka	-9	-8	-9
181	BL	America/St_Barthelemy	-4	-4	-4
182	CA	America/St_Johns	-3.5	-2.5	-3.5
183	KN	America/St_Kitts	-4	-4	-4
184	LC	America/St_Lucia	-4	-4	-4
185	VI	America/St_Thomas	-4	-4	-4
186	VC	America/St_Vincent	-4	-4	-4
187	CA	America/Swift_Current	-6	-6	-6
188	HN	America/Tegucigalpa	-6	-6	-6
189	GL	America/Thule	-4	-3	-4
190	MX	America/Tijuana	-8	-7	-8
191	CA	America/Toronto	-5	-4	-5
192	VG	America/Tortola	-4	-4	-4
193	CA	America/Vancouver	-8	-7	-8
194	CA	America/Whitehorse	-7	-7	-7
195	CA	America/Winnipeg	-6	-5	-6
196	US	America/Yakutat	-9	-8	-9
197	AQ	Antarctica/Casey	8	8	8
198	AQ	Antarctica/Davis	7	7	7
199	AQ	Antarctica/DumontDUrville	10	10	10
200	AU	Antarctica/Macquarie	11	10	10
201	AQ	Antarctica/Mawson	5	5	5
202	AQ	Antarctica/McMurdo	13	12	12
203	AQ	Antarctica/Palmer	-3	-3	-3
204	AQ	Antarctica/Rothera	-3	-3	-3
205	AQ	Antarctica/Syowa	3	3	3
206	AQ	Antarctica/Troll	0	2	0
207	AQ	Antarctica/Vostok	5	5	5
208	SJ	Arctic/Longyearbyen	1	2	1
209	YE	Asia/Aden	3	3	3
210	KZ	Asia/Almaty	5	5	5
211	JO	Asia/Amman	3	3	3
212	RU	Asia/Anadyr	12	12	12
213	KZ	Asia/Aqtau	5	5	5
214	KZ	Asia/Aqtobe	5	5	5
215	TM	Asia/Ashgabat	5	5	5
216	KZ	Asia/Atyrau	5	5	5
217	IQ	Asia/Baghdad	3	3	3
218	BH	Asia/Bahrain	3	3	3
219	AZ	Asia/Baku	4	4	4
220	TH	Asia/Bangkok	7	7	7
221	RU	Asia/Barnaul	7	7	7
222	LB	Asia/Beirut	2	3	2
223	KG	Asia/Bishkek	6	6	6
224	BN	Asia/Brunei	8	8	8
225	RU	Asia/Chita	9	9	9
226	LK	Asia/Colombo	5.5	5.5	5.5
227	SY	Asia/Damascus	3	3	3
228	BD	Asia/Dhaka	6	6	6
229	TL	Asia/Dili	9	9	9
230	AE	Asia/Dubai	4	4	4
231	TJ	Asia/Dushanbe	5	5	5
232	CY	Asia/Famagusta	2	3	2
233	JS	Asia/Gaza	2	3	2
234	JS	Asia/Hebron	2	3	2
235	VN	Asia/Ho_Chi_Minh	7	7	7
236	HK	Asia/Hong_Kong	8	8	8
237	MN	Asia/Hovd	7	7	7
238	RU	Asia/Irkutsk	8	8	8
239	ID	Asia/Jakarta	7	7	7
240	ID	Asia/Jayapura	9	9	9
241	IL	Asia/Jerusalem	2	3	2
242	AF	Asia/Kabul	4.5	4.5	4.5
243	RU	Asia/Kamchatka	12	12	12
244	PK	Asia/Karachi	5	5	5
245	NP	Asia/Kathmandu	5.75	5.75	5.75
246	RU	Asia/Khandyga	9	9	9
247	IN	Asia/Kolkata	5.5	5.5	5.5
248	RU	Asia/Krasnoyarsk	7	7	7
249	MY	Asia/Kuala_Lumpur	8	8	8
250	MY	Asia/Kuching	8	8	8
251	KW	Asia/Kuwait	3	3	3
252	MO	Asia/Macau	8	8	8
253	RU	Asia/Magadan	11	11	11
254	ID	Asia/Makassar	8	8	8
255	PH	Asia/Manila	8	8	8
256	OM	Asia/Muscat	4	4	4
257	CY	Asia/Nicosia	2	3	2
258	RU	Asia/Novokuznetsk	7	7	7
259	RU	Asia/Novosibirsk	7	7	7
260	RU	Asia/Omsk	6	6	6
261	KZ	Asia/Oral	5	5	5
262	KH	Asia/Phnom_Penh	7	7	7
263	ID	Asia/Pontianak	7	7	7
264	KP	Asia/Pyongyang	9	9	9
265	QA	Asia/Qatar	3	3	3
266	KZ	Asia/Qostanay	5	5	5
267	KZ	Asia/Qyzylorda	5	5	5
268	SA	Asia/Riyadh	3	3	3
269	RU	Asia/Sakhalin	11	11	11
270	UZ	Asia/Samarkand	5	5	5
271	KR	Asia/Seoul	9	9	9
272	CN	Asia/Shanghai	8	8	8
273	SG	Asia/Singapore	8	8	8
274	RU	Asia/Srednekolymsk	11	11	11
275	TW	Asia/Taipei	8	8	8
276	UZ	Asia/Tashkent	5	5	5
277	GE	Asia/Tbilisi	4	4	4
278	IR	Asia/Tehran	3.5	3.5	3.5
279	BT	Asia/Thimphu	6	6	6
280	JP	Asia/Tokyo	9	9	9
281	RU	Asia/Tomsk	7	7	7
282	MN	Asia/Ulaanbaatar	8	8	8
283	CN	Asia/Urumqi	6	6	6
284	RU	Asia/Ust-Nera	10	10	10
285	LA	Asia/Vientiane	7	7	7
286	RU	Asia/Vladivostok	10	10	10
287	RU	Asia/Yakutsk	9	9	9
288	MM	Asia/Yangon	6.5	6.5	6.5
289	RU	Asia/Yekaterinburg	5	5	5
290	AM	Asia/Yerevan	4	4	4
291	PT	Atlantic/Azores	-1	0	-1
292	BM	Atlantic/Bermuda	-4	-3	-4
293	ES	Atlantic/Canary	0	1	0
294	CV	Atlantic/Cape_Verde	-1	-1	-1
295	FO	Atlantic/Faroe	0	1	0
296	PT	Atlantic/Madeira	0	1	0
297	IS	Atlantic/Reykjavik	0	0	0
298	GS	Atlantic/South_Georgia	-2	-2	-2
299	SH	Atlantic/St_Helena	0	0	0
300	FK	Atlantic/Stanley	-3	-3	-3
301	AU	Australia/Adelaide	10.5	9.5	9.5
302	AU	Australia/Brisbane	10	10	10
303	AU	Australia/Broken_Hill	10.5	9.5	9.5
304	AU	Australia/Darwin	9.5	9.5	9.5
305	AU	Australia/Eucla	8.75	8.75	8.75
306	AU	Australia/Hobart	11	10	10
307	AU	Australia/Lindeman	10	10	10
308	AU	Australia/Lord_Howe	11	10.5	10.5
309	AU	Australia/Melbourne	11	10	10
310	AU	Australia/Perth	8	8	8
311	AU	Australia/Sydney	11	10	10
312	NL	Europe/Amsterdam	1	2	1
313	AD	Europe/Andorra	1	2	1
314	RU	Europe/Astrakhan	4	4	4
315	GR	Europe/Athens	2	3	2
316	RS	Europe/Belgrade	1	2	1
317	DE	Europe/Bonn	1	2	1
318	SK	Europe/Bratislava	1	2	1
319	BE	Europe/Brussels	1	2	1
320	RO	Europe/Bucharest	2	3	2
321	HU	Europe/Budapest	1	2	1
322	DE	Europe/Busingen	1	2	1
323	MD	Europe/Chisinau	2	3	2
324	DK	Europe/Copenhagen	1	2	1
325	IE	Europe/Dublin	0	1	0
326	GI	Europe/Gibraltar	1	2	1
327	GG	Europe/Guernsey	0	1	0
328	FI	Europe/Helsinki	2	3	2
329	IM	Europe/Isle_of_Man	0	1	0
330	TR	Europe/Istanbul	3	3	3
331	JE	Europe/Jersey	0	1	0
332	RU	Europe/Kaliningrad	2	2	2
333	RU	Europe/Kirov	3	3	3
334	UA	Europe/Kyiv	2	3	2
335	PT	Europe/Lisbon	0	1	0
336	SI	Europe/Ljubljana	1	2	1
337	GB	Europe/London	0	1	0
338	LU	Europe/Luxembourg	1	2	1
339	ES	Europe/Madrid	1	2	1
340	MT	Europe/Malta	1	2	1
341	AX	Europe/Mariehamn	2	3	2
342	BY	Europe/Minsk	3	3	3
343	MC	Europe/Monaco	1	2	1
344	RU	Europe/Moscow	3	3	3
345	NO	Europe/Oslo	1	2	1
346	FR	Europe/Paris	1	2	1
347	ME	Europe/Podgorica	1	2	1
348	CZ	Europe/Prague	1	2	1
349	LV	Europe/Riga	2	3	2
350	IT	Europe/Rome	1	2	1
