True (T) or No Data (C);Year;Solar Longitude;Sol;Wind Speed m/sec;Wind Direction;Pressure mb;Temp F;Temp C
C;1;117.993;1.02;0;0;0;-459.67;-273.15
T;1;118.012;1.06;1.5;79;7.82;-97.69;-72.05
T;1;118.031;1.1;1.7;65;7.82;-106.44;-76.91
T;1;118.05;1.14;2.5;67;7.83;-111.82;-79.9
T;1;118.07;1.18;3.3;78;7.82;-112.47;-80.26
T;1;118.089;1.22;4;97;7.8;-108.24;-77.91
T;1;118.108;1.26;6.5;111;7.81;-102.35;-74.64
T;1;118.127;1.3;7.4;121;7.82;-85.97;-65.54
T;1;118.146;1.34;4.5;149;7.8;-59.37;-50.76
T;1;118.165;1.38;3.1;194;7.74;-49.7;-45.39
T;1;118.184;1.42;3.3;215;7.73;-43.6;-42
T;1;118.204;1.46;3.1;213;7.73;-35.12;-37.29
T;1;118.223;1.5;2;203;7.73;-29.88;-34.38
T;1;118.242;1.54;2.5;348;7.73;-34.55;-36.97
T;1;118.261;1.58;1.8;306;7.73;-26.43;-32.46
T;1;118.28;1.62;3.7;342;7.73;-26.45;-32.47
T;1;118.299;1.66;2;354;7.73;-25.53;-31.96
T;1;118.318;1.7;2.7;355;7.73;-27.72;-33.18
T;1;118.338;1.74;2.9;8;7.73;-37.75;-38.75
T;1;118.357;1.78;2.8;8;7.72;-38.54;-39.19
T;1;118.376;1.82;1;37;7.74;-62.86;-52.7
T;1;118.395;1.86;1.6;40;7.82;-77.33;-60.74
T;1;118.414;1.9;1.2;42;7.84;-76.94;-60.52
T;1;118.433;1.94;1.8;52;7.82;-87.14;-66.19
T;1;118.453;1.98;1.3;73;7.82;-94.05;-70.03
T;1;118.472;2.02;1.4;77;7.82;-93.93;-69.96
T;1;118.491;2.06;2;78;7.82;-100.91;-73.84
T;1;118.51;2.1;2.2;63;7.8;-107.16;-77.31
T;1;118.529;2.14;2.5;67;7.73;-111.48;-79.71
T;1;118.548;2.18;3;80;7.73;-112.13;-80.07
T;1;118.568;2.22;3.9;95;7.73;-108.36;-77.98
T;1;118.587;2.26;6.3;112;7.8;-104.26;-75.7
T;1;118.606;2.3;7.2;123;7.82;-88.26;-66.81
T;1;118.625;2.34;4.3;140;7.73;-63.22;-52.9
T;1;118.644;2.38;1.8;153;7.73;-48.26;-44.59
T;1;118.664;2.42;0.9;149;7.73;-40.22;-40.12
T;1;118.683;2.46;1.8;143;7.73;-37.77;-38.76
T;1;118.702;2.5;3.4;326;7.73;-42;-41.11
T;1;118.721;2.54;2.5;3;7.73;-34.01;-36.67
T;1;118.74;2.58;2.7;2;7.73;-29.47;-34.15
T;1;118.759;2.62;1.4;270;7.73;-27.45;-33.03
T;1;118.779;2.66;4.2;21;7.73;-26.55;-32.53
T;1;118.798;2.7;3.8;32;7.73;-28.53;-33.63
T;1;118.817;2.74;2.8;17;7.73;-37.77;-38.76
T;1;118.836;2.78;2.3;10;7.72;-38.56;-39.2
T;1;118.855;2.82;1.6;30;7.73;-62.21;-52.34
T;1;118.875;2.86;2.1;37;7.75;-77.75;-60.97
T;1;118.894;2.9;2;33;7.72;-77.53;-60.85
T;1;118.913;2.94;1.5;53;7.73;-88.35;-66.86
T;1;118.932;2.98;1.4;42;7.82;-96.7;-71.5
T;1;118.951;3.02;1.3;45;7.83;-99.69;-73.16
T;1;118.971;3.06;1.4;60;7.78;-102.19;-74.55
T;1;118.99;3.1;1.6;58;7.73;-107.72;-77.62
T;1;119.009;3.14;1.3;66;7.72;-113.03;-80.57
T;1;119.028;3.18;1.5;86;7.73;-108.44;-78.02
T;1;119.047;3.22;3.3;92;7.73;-110.15;-78.97
T;1;119.067;3.26;6.3;104;7.73;-102.53;-74.74
T;1;119.086;3.3;7.4;120;7.73;-89.86;-67.7
T;1;119.105;3.34;4.9;167;7.73;-62.73;-52.63
T;1;119.124;3.38;2.8;212;7.73;-70.38;-56.88
T;1;119.143;3.42;2.1;237;7.74;-58.72;-50.4
T;1;119.162;3.46;2.4;280;7.73;-47.7;-44.28
T;1;119.182;3.5;3.2;347;7.73;-38.13;-38.96
T;1;119.201;3.54;3.8;14;7.73;-31.4;-35.22
T;1;119.22;3.58;3.3;27;7.73;-29.04;-33.91
T;1;119.239;3.62;1.9;53;7.73;-22.77;-30.43
T;1;119.258;3.66;2.6;285;7.69;-26.75;-32.64
T;1;119.278;3.7;2.5;335;7.67;-32.15;-35.64
T;1;119.297;3.74;1.6;7;7.73;-37.59;-38.66
T;1;119.316;3.78;1.1;349;7.75;-37.84;-38.8
T;1;119.335;3.82;1.6;40;7.73;-60.59;-51.44
T;1;119.355;3.86;1.6;30;7.73;-77.28;-60.71
T;1;119.374;3.9;1.4;42;7.73;-76.72;-60.4
T;1;119.393;3.94;0.8;50;7.73;-86.8;-66
T;1;119.412;3.98;1;53;7.73;-94.99;-70.55
T;1;119.431;4.02;1.3;66;7.73;-100.8;-73.78
T;1;119.451;4.06;1.4;67;7.73;-100.53;-73.63
T;1;119.47;4.1;1.4;54;7.73;-104.84;-76.02
T;1;119.489;4.14;2.2;62;7.73;-111.77;-79.87
T;1;119.508;4.18;3.7;84;7.73;-116.48;-82.49
T;1;119.528;4.22;5.2;98;7.73;-114.97;-81.65
T;1;119.547;4.26;6.1;109;7.73;-104.35;-75.75
T;1;119.566;4.3;5.9;125;7.73;-88.06;-66.7
T;1;119.585;4.34;4.9;149;7.73;-68.17;-55.65
T;1;119.604;4.38;3.7;172;7.73;-57.12;-49.51
T;1;119.624;4.42;2.6;175;7.73;-45.89;-43.27
T;1;119.643;4.46;1.6;157;7.73;-46.86;-43.81
T;1;119.662;4.5;1.4;127;7.73;-37.3;-38.5
T;1;119.681;4.54;2.2;159;7.73;-27.26;-32.92
T;1;119.7;4.58;2;150;7.74;-29;-33.89
T;1;119.72;4.62;1.5;90;7.73;-21.66;-29.81
T;1;119.739;4.66;2.2;0;7.67;-26.81;-32.67
T;1;119.758;4.7;3.7;14;7.62;-26.72;-32.62
T;1;119.777;4.74;3.4;25;7.64;-31.25;-35.14
T;1;119.797;4.78;0.8;40;7.73;-47.34;-44.08
T;1;119.816;4.82;1.7;25;7.77;-70.58;-56.99
T;1;119.835;4.86;1.7;33;7.75;-77.94;-61.08
T;1;119.854;4.9;1;56;7.73;-81.69;-63.16
T;1;119.874;4.94;1.1;56;7.73;-92.63;-69.24
T;1;119.893;4.98;1.2;63;7.73;-91.25;-68.47
T;1;119.912;5.02;1.6;83;7.73;-100.61;-73.67
T;1;119.931;5.06;1.9;77;7.73;-106.17;-76.76
T;1;119.951;5.1;2;84;7.73;-106.83;-77.13
T;1;119.97;5.14;4;72;7.73;-113.78;-80.99
T;1;119.989;5.18;3.1;73;7.73;-113.33;-80.74
T;1;120.008;5.22;5.7;99;7.73;-113.31;-80.73
T;1;120.028;5.26;7.7;119;7.73;-93.57;-69.76
T;1;120.047;5.3;7.1;133;7.73;-81.38;-62.99
T;1;120.066;5.34;5.4;146;7.73;-66.35;-54.64
T;1;120.085;5.38;4.4;154;7.73;-62.72;-52.62
T;1;120.104;5.42;3.8;158;7.73;-54.04;-47.8
T;1;120.124;5.46;3.2;167;7.73;-41.01;-40.56
T;1;120.143;5.5;2.3;188;7.73;-36.44;-38.02
T;1;120.162;5.54;2.3;131;7.73;-38.96;-39.42
T;1;120.182;5.58;3;117;7.73;-26.34;-32.41
T;1;120.201;5.62;3.4;282;7.73;-23.17;-30.65
T;1;120.22;5.66;2.5;324;7.69;-24.3;-31.28
T;1;120.239;5.7;2.8;47;7.64;-28.75;-33.75
